created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2024-07-03T00:49:18+00:00,59,33,73.40,61.60,265,,,,
2024-07-03T01:49:24+00:00,60,32,73.22,62.90,273,,,,
2024-07-03T02:49:30+00:00,61,32,73.40,60.90,265,,,,
2024-07-03T03:49:36+00:00,62,31,73.94,60.10,263,,,,
2024-07-03T04:49:42+00:00,63,33,74.84,61.00,273,,,,
2024-07-03T05:49:48+00:00,64,32,76.10,61.40,270,,,,
2024-07-03T06:49:54+00:00,65,32,76.64,64.60,5254,,,,
2024-07-03T07:50:00+00:00,66,32,75.56,66.10,5312,,,,
2024-07-03T08:50:06+00:00,67,33,74.66,62.90,5111,,,,
2024-07-03T09:50:12+00:00,68,33,73.40,68.10,5225,,,,
2024-07-03T10:50:18+00:00,69,33,73.58,68.30,2511,,,,
2024-07-03T11:50:24+00:00,70,34,73.58,65.20,870,,,,
2024-07-03T12:50:30+00:00,71,34,72.86,71.30,875,,,,
2024-07-03T13:50:36+00:00,72,33,73.76,70.40,384,,,,
2024-07-03T14:50:42+00:00,73,33,74.30,72.10,389,,,,
2024-07-03T16:46:47+00:00,74,24,87.26,66.90,3,,,,
2024-07-03T17:46:54+00:00,75,25,109.22,55.70,2,,,,
2024-07-03T18:47:02+00:00,76,33,119.66,52.80,16,,,,
2024-07-03T19:47:09+00:00,77,35,105.80,57.10,20,,,,
2024-07-03T20:47:15+00:00,78,38,103.64,54.10,23,,,,
2024-07-03T21:47:22+00:00,79,40,89.60,72.60,27,,,,
2024-07-03T22:47:29+00:00,80,39,89.42,72.40,32,,,,
2024-07-03T23:47:35+00:00,81,40,91.58,67.30,82,,,,
2024-07-04T00:47:42+00:00,82,39,88.52,70.20,3648,,,,
2024-07-04T01:47:48+00:00,83,39,86.72,72.70,4920,,,,
2024-07-04T02:47:55+00:00,84,39,85.46,74.50,5139,,,,
2024-07-04T03:48:01+00:00,85,40,84.56,75.60,4815,,,,
2024-07-04T04:48:08+00:00,86,40,83.84,76.20,4815,,,,
2024-07-04T05:48:14+00:00,87,40,82.94,77.10,4867,,,,
2024-07-04T06:48:21+00:00,88,33,82.04,78.10,5283,,,,
2024-07-04T07:48:27+00:00,89,40,81.32,79.40,4947,,,,
2024-07-04T08:48:33+00:00,90,40,80.78,79.70,5111,,,,
2024-07-04T09:48:40+00:00,91,40,80.42,80.10,5056,,,,
2024-07-04T10:48:46+00:00,92,40,80.06,80.60,109,,,,
2024-07-04T11:48:52+00:00,93,39,80.06,80.60,22,,,,
2024-07-04T12:48:59+00:00,94,38,89.42,69.70,10,,,,
2024-07-04T13:49:06+00:00,95,37,96.80,66.90,22,,,,
2024-07-04T14:49:13+00:00,96,38,93.56,73.10,18,,,,
2024-07-04T15:49:19+00:00,97,37,91.58,72.00,3,,,,
2024-07-04T16:49:26+00:00,98,25,94.82,68.60,2,,,,
2024-07-04T17:49:34+00:00,99,23,121.46,49.80,2,,,,
2024-07-04T18:49:42+00:00,100,38,123.80,49.00,17,,,,
2024-07-04T19:49:49+00:00,101,40,106.16,55.90,14,,,,
2024-07-05T00:58:12+00:00,102,-27,81.86,80.60,21487,,,,
2024-07-05T01:58:19+00:00,103,-23,82.40,82.90,20426,,,,
2024-07-05T02:58:26+00:00,104,-20,82.22,83.90,17854,,,,
2024-07-05T06:05:01+00:00,105,61,80.78,86.90,4920,,,,
2024-07-05T07:05:07+00:00,106,62,80.60,85.60,5083,,,,
2024-07-05T08:05:14+00:00,107,63,80.24,85.50,5083,,,,
2024-07-05T09:05:20+00:00,108,63,79.88,85.50,5168,,,,
2024-07-05T10:05:26+00:00,109,64,79.52,85.40,3940,,,,
2024-07-05T11:05:33+00:00,110,64,79.16,85.70,70,,,,
2024-07-05T12:05:39+00:00,111,64,79.34,85.00,14,,,,
2024-07-05T13:05:46+00:00,112,64,91.22,69.50,5,,,,
2024-07-05T14:05:53+00:00,113,65,95.36,74.10,13,,,,
2024-07-05T15:05:59+00:00,114,65,93.56,76.10,19,,,,
2024-07-05T16:06:06+00:00,115,65,89.96,77.10,3,,,,
2024-07-05T17:06:13+00:00,116,59,101.12,69.30,11,,,,
2024-07-05T18:06:21+00:00,117,66,120.02,63.00,16,,,,
2024-07-05T19:06:28+00:00,118,66,108.50,71.90,16,,,,
2024-07-05T20:06:35+00:00,119,66,101.30,69.60,23,,,,
2024-07-05T21:06:42+00:00,120,66,98.06,66.30,17,,,,
2024-07-05T22:06:48+00:00,121,68,95.54,67.50,38,,,,
2024-07-05T23:06:55+00:00,122,67,94.46,67.40,70,,,,
2024-07-06T00:07:02+00:00,123,67,89.78,71.90,186,,,,
2024-07-06T01:07:08+00:00,124,66,87.44,75.10,4867,,,,
2024-07-06T02:07:15+00:00,125,68,85.64,76.10,4662,,,,
2024-07-06T03:07:21+00:00,126,68,84.20,77.30,4687,,,,
2024-07-06T04:07:28+00:00,127,67,83.48,77.20,4712,,,,
2024-07-06T05:07:34+00:00,128,68,82.58,78.20,4737,,,,
2024-07-06T06:07:40+00:00,129,65,81.86,78.80,4515,,,,
2024-07-06T07:07:47+00:00,130,67,80.96,79.70,5083,,,,
2024-07-06T08:07:53+00:00,131,68,80.42,80.20,4947,,,,
2024-07-06T09:08:00+00:00,132,65,79.88,80.40,4612,,,,
2024-07-06T10:08:06+00:00,133,68,79.52,80.80,3723,,,,
2024-07-06T11:08:12+00:00,134,64,79.34,80.90,73,,,,
2024-07-06T12:08:19+00:00,135,68,79.88,80.30,19,,,,
2024-07-06T13:08:25+00:00,136,68,89.42,68.70,4,,,,
2024-07-06T14:08:32+00:00,137,69,98.42,67.00,11,,,,
2024-07-06T15:08:39+00:00,138,68,92.48,74.70,11,,,,
2024-07-06T16:39:03+00:00,139,21,94.82,56.80,4,,,,
2024-07-06T17:39:12+00:00,140,25,124.34,45.00,5,,,,
2024-07-06T18:39:20+00:00,141,31,128.12,47.60,28,,,,
2024-07-06T19:39:27+00:00,142,37,106.70,64.00,27,,,,
2024-07-06T20:39:35+00:00,143,41,102.56,61.00,34,,,,
2024-07-06T21:39:42+00:00,144,48,100.94,61.00,37,,,,
2024-07-06T22:39:49+00:00,145,61,99.32,60.20,54,,,,
2024-07-06T23:39:56+00:00,146,61,94.28,63.30,70,,,,
2024-07-07T00:40:02+00:00,147,68,91.76,66.10,2116,,,,
2024-07-08T00:37:09+00:00,148,67,92.66,59.50,1863,,,,
2024-07-08T01:37:16+00:00,149,67,89.06,65.30,4712,,,,
2024-07-08T02:37:22+00:00,150,64,87.26,68.50,4260,,,,
2024-07-08T03:37:29+00:00,151,68,85.82,69.70,4563,,,,
2024-07-08T04:37:35+00:00,152,67,84.92,70.90,4588,,,,
2024-07-08T05:37:42+00:00,153,66,84.20,72.50,4687,,,,
2024-07-08T06:37:48+00:00,154,68,83.48,74.10,4612,,,,
2024-07-08T07:37:55+00:00,155,68,82.94,74.60,4662,,,,
2024-07-08T08:38:01+00:00,156,68,82.58,75.90,4687,,,,
2024-07-08T09:38:07+00:00,157,67,81.86,76.50,4737,,,,
2024-07-08T10:38:14+00:00,158,69,81.32,77.70,261,,,,
2024-07-08T11:38:20+00:00,159,63,80.96,78.80,38,,,,
2024-07-08T12:38:27+00:00,160,67,84.56,75.30,10,,,,
2024-07-08T13:38:34+00:00,161,68,93.38,68.10,22,,,,
2024-07-08T14:38:40+00:00,162,67,95.00,69.10,18,,,,
2024-07-08T15:38:47+00:00,163,66,92.84,68.90,11,,,,
2024-07-08T16:38:54+00:00,164,63,95.36,68.70,19,,,,
2024-07-08T17:39:01+00:00,165,66,98.42,66.10,2,,,,
2024-07-08T18:39:09+00:00,166,66,123.44,48.40,14,,,,
2024-07-08T19:39:16+00:00,167,68,109.22,58.60,13,,,,
2024-07-08T20:39:23+00:00,168,68,104.00,56.50,18,,,,
2024-07-08T21:39:29+00:00,169,64,99.50,56.60,26,,,,
2024-07-08T22:39:36+00:00,170,70,97.88,62.20,173,,,,
2024-07-08T23:39:43+00:00,171,69,87.80,69.40,410,,,,
2024-07-09T00:39:49+00:00,172,69,78.98,83.10,3232,,,,
2024-07-09T01:39:55+00:00,173,68,79.88,83.90,4563,,,,
2024-07-09T02:40:02+00:00,174,68,79.70,84.10,4763,,,,
2024-07-09T03:40:08+00:00,175,68,79.52,83.90,4539,,,,
2024-07-09T04:40:15+00:00,176,68,78.98,84.80,4588,,,,
2024-07-09T05:40:21+00:00,177,65,78.98,84.80,4539,,,,
2024-07-09T06:40:27+00:00,178,69,78.80,85.60,4637,,,,
2024-07-09T07:40:34+00:00,179,68,78.62,85.70,4687,,,,
2024-07-09T08:40:40+00:00,180,69,78.62,85.80,4539,,,,
2024-07-09T09:40:46+00:00,181,69,78.44,86.20,4612,,,,
2024-07-09T10:40:53+00:00,182,68,78.26,86.30,230,,,,
2024-07-09T11:40:59+00:00,183,68,78.26,86.30,27,,,,
2024-07-09T12:41:05+00:00,184,68,80.60,84.70,14,,,,
2024-07-09T13:41:12+00:00,185,68,90.86,74.30,18,,,,
2024-07-09T14:41:19+00:00,186,68,92.30,77.90,15,,,,
2024-07-09T15:41:25+00:00,187,67,90.68,77.20,12,,,,
2024-07-09T16:41:32+00:00,188,68,93.02,73.70,17,,,,
2024-07-09T17:41:39+00:00,189,67,98.24,71.30,20,,,,
2024-07-09T18:41:46+00:00,190,70,95.90,70.60,78,,,,
2024-07-09T19:41:52+00:00,191,70,83.30,82.20,70,,,,
2024-07-09T20:41:59+00:00,192,69,78.26,87.70,92,,,,
2024-07-09T21:42:05+00:00,193,69,77.72,89.20,44,,,,
2024-07-09T22:42:11+00:00,194,68,77.90,89.50,38,,,,
2024-07-09T23:42:18+00:00,195,68,79.16,88.50,102,,,,
2024-07-10T00:42:24+00:00,196,69,78.62,89.40,3029,,,,
2024-07-10T01:42:30+00:00,197,69,78.26,90.10,4420,,,,
2024-07-10T02:42:36+00:00,198,69,78.08,90.10,4216,,,,
2024-07-10T03:42:43+00:00,199,68,77.90,90.30,4515,,,,
2024-07-10T04:42:49+00:00,200,69,77.90,90.10,4420,,,,
2024-07-10T05:42:55+00:00,201,69,77.54,90.50,4515,,,,
2024-07-10T06:43:02+00:00,202,68,76.82,90.60,4662,,,,
2024-07-10T07:43:08+00:00,203,69,76.82,90.20,4515,,,,
2024-07-10T08:43:14+00:00,204,69,76.82,90.40,4588,,,,
2024-07-10T09:43:20+00:00,205,68,77.00,90.20,4662,,,,
2024-07-10T10:43:27+00:00,206,69,77.18,90.50,311,,,,
2024-07-10T11:43:33+00:00,207,68,77.36,90.30,42,,,,
2024-07-10T12:43:39+00:00,208,67,78.80,88.60,13,,,,
2024-07-10T13:43:46+00:00,209,68,87.98,80.30,16,,,,
2024-07-10T14:43:52+00:00,210,68,91.04,80.30,14,,,,
2024-07-10T15:43:59+00:00,211,28,90.86,79.30,12,,,,
2024-07-10T16:44:07+00:00,212,25,91.58,71.40,9,,,,
2024-07-10T17:44:14+00:00,213,27,111.20,59.90,5,,,,
2024-07-10T18:44:22+00:00,214,35,116.42,57.90,17,,,,
2024-07-10T19:44:29+00:00,215,33,99.86,70.50,24,,,,
2024-07-10T20:44:37+00:00,216,44,96.80,70.50,29,,,,
2024-07-10T21:44:43+00:00,217,61,93.56,73.20,39,,,,
2024-07-10T22:44:50+00:00,218,66,91.04,76.60,58,,,,
2024-07-10T23:44:57+00:00,219,68,88.52,79.10,76,,,,
2024-07-11T00:45:03+00:00,220,69,87.44,80.20,3398,,,,
2024-07-11T01:45:10+00:00,221,68,85.46,81.60,4737,,,,
2024-07-11T02:45:16+00:00,222,68,84.20,82.80,4737,,,,
2024-07-11T03:45:23+00:00,223,65,83.48,83.70,4444,,,,
2024-07-11T04:45:29+00:00,224,68,82.58,84.60,4637,,,,
2024-07-11T05:45:35+00:00,225,68,82.22,85.00,4687,,,,
2024-07-11T06:45:42+00:00,226,68,81.86,84.90,4789,,,,
2024-07-11T07:45:48+00:00,227,68,81.68,85.00,4815,,,,
2024-07-11T08:45:55+00:00,228,68,81.50,85.90,4815,,,,
2024-07-11T09:46:01+00:00,229,68,81.50,85.30,4789,,,,
2024-07-11T10:46:07+00:00,230,68,81.14,86.30,288,,,,
2024-07-11T11:46:14+00:00,231,68,80.78,86.10,78,,,,
2024-07-11T12:46:20+00:00,232,68,81.50,85.00,42,,,,
2024-07-11T13:46:27+00:00,233,68,81.86,81.80,38,,,,
2024-07-11T14:46:33+00:00,234,68,79.52,81.90,38,,,,
2024-07-11T15:46:39+00:00,235,67,78.44,82.90,12,,,,
2024-07-11T16:46:46+00:00,236,66,82.76,79.30,6,,,,
2024-07-11T17:46:53+00:00,237,67,91.22,72.50,18,,,,
2024-07-11T18:46:59+00:00,238,67,88.16,79.20,15,,,,
2024-07-11T19:47:06+00:00,239,67,90.50,76.30,20,,,,
2024-07-11T20:47:12+00:00,240,68,89.06,78.30,27,,,,
2024-07-11T21:47:19+00:00,241,68,87.62,79.30,27,,,,
2024-07-11T22:47:25+00:00,242,68,87.26,79.10,30,,,,
2024-07-11T23:47:32+00:00,243,68,87.44,79.40,138,,,,
2024-07-12T00:47:38+00:00,244,68,85.10,82.40,3960,,,,
2024-07-12T01:47:45+00:00,245,68,83.30,83.00,4687,,,,
2024-07-12T02:47:51+00:00,246,68,82.40,84.30,4712,,,,
2024-07-12T03:47:58+00:00,247,68,81.86,84.40,4612,,,,
2024-07-12T04:48:04+00:00,248,68,81.50,85.50,4763,,,,
2024-07-12T05:48:10+00:00,249,68,80.96,85.80,4789,,,,
2024-07-12T06:48:17+00:00,250,68,80.60,86.30,4841,,,,
2024-07-12T07:48:23+00:00,251,68,79.88,87.00,4893,,,,
2024-07-12T08:48:29+00:00,252,68,79.52,87.20,4867,,,,
2024-07-12T09:48:36+00:00,253,68,78.98,87.20,4841,,,,
2024-07-12T10:48:42+00:00,254,68,78.44,87.10,179,,,,
2024-07-12T11:48:48+00:00,255,67,78.26,87.20,32,,,,
2024-07-12T12:48:55+00:00,256,66,81.86,83.70,13,,,,
2024-07-12T13:49:01+00:00,257,67,89.60,77.80,27,,,,
2024-07-12T14:49:08+00:00,258,67,90.50,80.30,22,,,,
2024-07-12T15:49:15+00:00,259,67,89.42,78.80,4,,,,
2024-07-12T16:49:22+00:00,260,65,94.10,74.00,5,,,,
2024-07-12T17:49:29+00:00,261,63,119.30,56.00,3,,,,
2024-07-12T18:49:37+00:00,262,67,123.62,56.50,22,,,,
2024-07-12T19:49:44+00:00,263,68,105.62,69.90,26,,,,
2024-07-12T20:49:51+00:00,264,67,102.20,65.90,23,,,,
2024-07-12T21:49:57+00:00,265,68,102.74,63.90,26,,,,
2024-07-12T22:50:04+00:00,266,68,97.16,70.10,44,,,,
2024-07-12T23:50:11+00:00,267,68,90.68,70.20,57,,,,
2024-07-13T00:50:17+00:00,268,68,88.34,73.40,4172,,,,
2024-07-13T01:50:24+00:00,269,68,86.72,74.50,4637,,,,
2024-07-13T02:50:30+00:00,270,64,85.46,76.80,4216,,,,
2024-07-13T03:50:37+00:00,271,67,83.84,78.40,4662,,,,
2024-07-13T04:50:43+00:00,272,67,82.94,78.90,4662,,,,
2024-07-13T05:50:50+00:00,273,67,82.04,79.70,4687,,,,
2024-07-13T06:50:56+00:00,274,59,81.32,80.30,4282,,,,
2024-07-13T07:51:02+00:00,275,67,80.60,81.30,4789,,,,
2024-07-13T08:51:09+00:00,276,67,80.06,81.60,4789,,,,
2024-07-13T09:51:15+00:00,277,67,79.70,82.30,4763,,,,
2024-07-13T10:51:22+00:00,278,66,79.34,82.70,127,,,,
2024-07-13T11:51:28+00:00,279,63,79.34,82.80,39,,,,
2024-07-13T12:51:34+00:00,280,65,83.48,79.50,14,,,,
2024-07-13T13:51:41+00:00,281,62,90.86,74.90,29,,,,
2024-07-13T14:51:48+00:00,282,65,92.48,77.40,11,,,,
2024-07-13T15:51:55+00:00,283,65,95.90,72.90,13,,,,
2024-07-13T16:52:02+00:00,284,66,97.88,69.90,13,,,,
2024-07-13T17:52:08+00:00,285,65,100.76,68.20,4,,,,
2024-07-13T18:52:15+00:00,286,60,102.02,67.50,14,,,,
2024-07-13T19:52:22+00:00,287,66,105.26,66.20,20,,,,
2024-07-13T20:52:29+00:00,288,67,101.84,67.30,52,,,,
2024-07-13T21:52:36+00:00,289,68,91.76,75.00,67,,,,
2024-07-13T22:52:42+00:00,290,68,87.80,76.50,65,,,,
2024-07-13T23:52:49+00:00,291,63,83.48,81.00,253,,,,
2024-07-14T00:52:55+00:00,292,67,81.14,82.60,4444,,,,
2024-07-14T01:53:01+00:00,293,67,80.60,83.40,4737,,,,
2024-07-14T02:53:08+00:00,294,67,80.24,84.20,4737,,,,
2024-07-14T03:53:14+00:00,295,63,80.06,84.60,4194,,,,
2024-07-14T05:53:27+00:00,296,66,78.98,85.00,4737,,,,
2024-07-14T06:53:33+00:00,297,66,78.62,85.10,4789,,,,
2024-07-14T07:53:39+00:00,298,66,78.26,85.30,4763,,,,
2024-07-14T08:53:46+00:00,299,66,78.44,85.30,4815,,,,
2024-07-14T09:53:52+00:00,300,66,78.26,85.20,4712,,,,
2024-07-14T10:53:58+00:00,301,66,77.72,85.80,138,,,,
2024-07-14T11:54:05+00:00,302,66,77.90,85.40,32,,,,
2024-07-14T12:54:11+00:00,303,65,82.40,81.40,15,,,,
2024-07-14T13:54:18+00:00,304,66,90.14,76.20,27,,,,
2024-07-14T14:54:24+00:00,305,62,91.22,80.60,26,,,,
2024-07-14T15:54:31+00:00,306,75,92.12,77.30,11,,,,
2024-07-14T16:54:38+00:00,307,73,99.86,69.50,5,,,,
2024-07-14T17:54:46+00:00,308,72,123.26,56.70,4,,,,
2024-07-14T18:54:53+00:00,309,75,123.80,62.50,15,,,,
2024-07-14T19:55:00+00:00,310,74,106.16,70.50,15,,,,
2024-07-14T20:55:07+00:00,311,75,102.20,71.70,29,,,,
2024-07-14T21:55:14+00:00,312,75,93.56,75.60,76,,,,
2024-07-14T22:55:21+00:00,313,75,90.32,77.50,79,,,,
2024-07-14T23:55:27+00:00,314,74,84.74,79.00,401,,,,
2024-07-15T00:55:34+00:00,315,74,82.04,82.50,4662,,,,
2024-07-15T01:55:40+00:00,316,74,80.06,83.20,4612,,,,
2024-07-15T02:55:46+00:00,317,74,79.88,83.20,4815,,,,
2024-07-15T03:55:53+00:00,318,73,78.98,83.30,4737,,,,
2024-07-15T04:55:59+00:00,319,73,78.80,83.10,4789,,,,
2024-07-15T05:56:05+00:00,320,73,78.62,83.40,4815,,,,
2024-07-15T06:56:12+00:00,321,70,78.44,83.70,4328,,,,
2024-07-15T07:56:18+00:00,322,73,78.08,84.20,4841,,,,
2024-07-15T08:56:24+00:00,323,70,77.72,84.30,4374,,,,
2024-07-15T09:56:31+00:00,324,73,77.72,84.30,4789,,,,
2024-07-15T10:56:37+00:00,325,73,77.54,85.00,136,,,,
2024-07-15T11:56:43+00:00,326,73,77.72,85.20,26,,,,
2024-07-15T12:56:50+00:00,327,72,81.68,80.70,20,,,,
2024-07-15T13:56:56+00:00,328,73,85.46,80.00,15,,,,
2024-07-15T14:57:03+00:00,329,72,88.16,78.90,11,,,,
2024-07-15T15:57:10+00:00,330,72,91.58,77.60,16,,,,
2024-07-15T16:57:17+00:00,331,66,92.66,77.00,19,,,,
2024-07-15T17:57:24+00:00,332,72,116.06,62.30,6,,,,
2024-07-15T18:57:31+00:00,333,73,102.74,74.10,28,,,,
2024-07-15T19:57:37+00:00,334,73,100.22,72.70,17,,,,
2024-07-15T20:57:44+00:00,335,73,97.16,74.20,21,,,,
2024-07-15T21:57:51+00:00,336,73,89.42,76.60,20,,,,
2024-07-15T22:57:57+00:00,337,73,87.44,78.10,107,,,,
2024-07-15T23:58:04+00:00,338,73,83.66,85.10,1098,,,,
2024-07-16T00:58:10+00:00,339,73,81.86,85.60,4737,,,,
2024-07-16T01:58:16+00:00,340,73,80.06,86.80,4662,,,,
2024-07-16T03:58:29+00:00,341,72,79.34,86.80,4763,,,,
2024-07-16T04:58:35+00:00,342,72,78.98,87.00,5028,,,,
2024-07-16T05:58:42+00:00,343,72,78.62,87.50,4763,,,,
2024-07-16T06:58:48+00:00,344,72,78.44,87.40,4893,,,,
2024-07-16T07:58:54+00:00,345,72,78.08,87.70,4841,,,,
2024-07-16T08:59:01+00:00,346,72,78.08,87.80,4841,,,,
2024-07-16T09:59:07+00:00,347,72,78.26,87.50,4763,,,,
2024-07-16T10:59:13+00:00,348,72,78.26,88.00,109,,,,
2024-07-16T12:59:26+00:00,349,70,82.94,84.40,8,,,,
2024-07-16T13:59:33+00:00,350,71,90.32,79.80,23,,,,
2024-07-16T15:59:46+00:00,351,70,93.20,78.70,2,,,,
2024-07-16T16:59:53+00:00,352,69,104.18,70.40,6,,,,
2024-07-16T18:00:01+00:00,353,66,103.46,45.40,14,,,,
2024-07-16T19:00:08+00:00,354,68,104.00,42.20,33,,,,
2024-07-16T20:00:14+00:00,355,71,97.70,47.00,22,,,,
2024-07-16T21:00:21+00:00,356,72,97.88,48.40,65,,,,
2024-07-16T22:00:27+00:00,357,72,86.54,67.70,207,,,,
2024-07-16T23:00:34+00:00,358,72,81.68,74.90,216,,,,
2024-07-17T00:00:40+00:00,359,68,80.78,74.90,306,,,,
2024-07-17T01:00:47+00:00,360,71,80.24,75.90,4588,,,,
2024-07-17T02:00:53+00:00,361,71,80.06,75.50,4612,,,,
2024-07-17T03:00:59+00:00,362,71,79.52,76.80,4662,,,,
2024-07-17T04:01:06+00:00,363,71,79.16,76.60,4194,,,,
2024-07-17T05:01:12+00:00,364,70,79.16,77.00,4662,,,,
2024-07-17T06:01:18+00:00,365,71,78.44,78.20,4763,,,,
2024-07-17T07:01:25+00:00,366,71,77.90,78.90,4789,,,,
2024-07-17T08:01:31+00:00,367,70,77.36,79.50,4789,,,,
2024-07-17T09:01:37+00:00,368,70,77.00,80.10,4789,,,,
2024-07-17T10:01:43+00:00,369,70,76.82,80.50,4662,,,,
2024-07-17T11:01:50+00:00,370,70,76.64,81.10,109,,,,
2024-07-17T12:01:56+00:00,371,70,76.82,80.90,11,,,,
2024-07-17T13:02:02+00:00,372,70,85.82,71.20,8,,,,
2024-07-17T14:02:09+00:00,373,70,90.86,72.30,20,,,,
2024-07-17T15:02:16+00:00,374,70,90.86,75.20,28,,,,
2024-07-17T16:02:22+00:00,375,69,89.42,75.30,20,,,,
2024-07-17T17:02:30+00:00,376,68,103.64,63.50,13,,,,
2024-07-17T18:02:37+00:00,377,68,118.94,61.20,6,,,,
2024-07-17T19:02:44+00:00,378,70,114.44,66.00,26,,,,
2024-07-17T20:02:51+00:00,379,70,102.56,71.00,27,,,,
2024-07-17T21:51:04+00:00,380,71,94.10,50.50,46,,,,
2024-07-17T22:51:11+00:00,381,72,93.38,68.20,32,,,,
2024-07-17T23:51:17+00:00,382,71,90.32,71.80,360,,,,
2024-07-18T00:51:24+00:00,383,71,82.94,80.60,4588,,,,
2024-07-18T01:51:30+00:00,384,73,82.94,80.00,4328,,,,
2024-07-18T02:51:37+00:00,385,70,82.58,80.40,4920,,,,
2024-07-18T03:51:43+00:00,386,69,82.04,80.50,4947,,,,
2024-07-18T04:51:49+00:00,387,71,81.32,80.00,4712,,,,
2024-07-18T05:51:56+00:00,388,70,80.78,80.70,4737,,,,
2024-07-18T06:52:02+00:00,389,71,80.78,81.10,4712,,,,
2024-07-18T07:52:08+00:00,390,71,80.24,82.00,4737,,,,
2024-07-18T08:52:14+00:00,391,69,79.88,82.60,5083,,,,
2024-07-18T09:52:21+00:00,392,70,79.16,83.10,4841,,,,
2024-07-18T10:52:27+00:00,393,70,78.80,83.50,196,,,,
